label,ccode,region,pop,qu,de,ar,aq,lng,lat,arid,capacity,delivery
Kyzyl,RUS,5,75,1,2,1,1,94.474,51.681,1.113,0.54,4311
Saarbrucken,DEU,5,739,2,1,1,1,7.075,49.142,1.114,2.13,31259
Sajanogorsk,RUS,5,52,1,2,1,1,91.425,53.138,1.116,0.45,9051
Durres,ALB,5,121,3,3,3,1,19.518,41.332,1.116,2.7,3175
Abakan,RUS,5,341,1,2,1,1,91.303,53.775,1.122,0.73,9051
Bourg_en_Bresse,FRA,5,64,1,1,1,1,5.25,46.204,1.123,0.97,19764
Saint_Nazaire,FRA,5,173,1,1,1,1,-2.263,47.242,1.13,0.92,17879
Cusovoj,RUS,5,59,1,1,1,1,57.846,58.296,1.13,0.39,12363
Brugge,BEL,5,376,2,1,1,1,2.952,51.194,1.135,1.74,25597
Lysva,RUS,5,67,1,1,1,1,57.8,58.109,1.136,0.92,12352
Shrewsbury,GBR,5,66,2,1,1,1,-2.742,52.713,1.137,1.37,19296
Brive_la_Gaillarde,FRA,5,81,1,1,1,1,1.408,45.138,1.138,0.55,16382
Jonkoping,SWE,5,91,1,1,1,1,14.2,57.717,1.14,0.63,21433
Viseu,PRT,5,61,2,1,1,1,-7.904,40.667,1.142,1.28,12477
Giresun,TUR,5,226,2,3,2,1,38.308,40.899,1.147,1.2,1673
Dunkerque,FRA,5,523,2,1,1,1,2.061,50.961,1.148,1.15,15186
Trento,ITA,5,142,2,1,1,1,11.171,46.075,1.153,1.37,28860
Fatsa,TUR,5,62,2,3,2,1,37.546,41.014,1.154,1.42,2459
Ostrava,CZE,5,759,2,1,1,1,18.412,49.679,1.154,2.33,13680
Novy_Jicin,CZE,5,79,2,1,1,1,18.108,49.596,1.156,1.29,13629
Aue,DEU,5,57,2,1,1,1,12.729,50.592,1.156,1.07,18367
Bolzano,ITA,5,143,2,1,1,1,11.367,46.471,1.156,1.12,28860
Gottingen,DEU,5,124,2,1,1,1,9.921,51.559,1.16,2.4,27293
Kassel,DEU,5,388,3,1,2,1,9.525,51.313,1.165,2.83,27660
Helsingborg,SWE,5,131,1,1,1,1,12.771,56.043,1.169,0.88,22777
Eu,FRA,5,51,1,1,1,1,1.492,50.042,1.171,0.68,14455
Forbach,FRA,5,227,2,1,1,1,6.858,49.133,1.171,1.36,24995
Ourense,ESP,5,119,1,1,1,1,-7.871,42.309,1.172,0.78,14754
Ioannina,GRC,5,97,2,2,2,1,20.85,39.614,1.175,1.09,9357
Eregli,TUR,5,78,2,3,2,1,31.46,41.271,1.177,1.89,2011
Gijon,ESP,5,803,2,1,1,1,-5.888,43.242,1.18,1.32,17057
Gloucester,GBR,5,319,3,1,2,1,-2.154,51.875,1.18,3.22,25492
Hameln,DEU,5,59,2,1,1,1,9.371,52.1,1.181,1.51,31020
Zenica,BIH,5,86,2,2,2,1,17.917,44.209,1.181,1.64,4755
Petrosani,ROU,5,112,2,2,2,1,23.321,45.388,1.204,1.14,8861
